iter	Passed	Remaining
0	2	235
1	5	247
2	7	226
3	8	210
4	10	206
5	12	201
6	14	195
7	16	186
8	17	180
9	19	172
10	20	166
11	21	160
12	23	159
13	25	155
14	26	151
15	28	147
16	29	144
17	30	141
18	32	137
19	33	134
20	34	131
21	36	128
22	37	126
23	39	123
24	40	121
25	41	118
26	43	117
27	44	115
28	46	113
29	47	111
30	49	109
31	50	107
32	51	105
33	53	103
34	54	102
35	56	100
36	57	98
37	59	96
38	60	95
39	62	93
40	63	91
41	64	89
42	66	87
43	67	86
44	69	84
45	70	82
46	71	81
47	73	79
48	75	78
49	76	76
50	78	75
51	79	73
52	82	72
53	83	71
54	84	69
55	86	67
56	87	66
57	88	64
58	90	62
59	91	61
60	93	59
61	94	58
62	96	56
63	97	54
64	98	53
65	100	51
66	101	50
67	102	48
68	104	46
69	105	45
70	106	43
71	108	42
72	109	40
73	110	38
74	113	37
75	114	36
76	115	34
77	117	33
78	118	31
79	120	30
80	121	28
81	123	27
82	124	25
83	125	23
84	127	22
85	128	20
86	129	19
87	131	17
88	132	16
89	133	14
90	135	13
91	136	11
92	138	10
93	139	8
94	141	7
95	142	5
96	144	4
97	145	2
98	147	1
99	148	0
